Time,x_end_to_end,y_end_to_end,z_end_to_end
1.0000,70.855904,1.423372,-0.923644
2.0000,73.178830,2.705311,-5.175633
3.0000,72.864248,-0.489112,-5.603629
4.0000,70.273624,0.196964,-4.556230
5.0000,66.479674,2.345060,-2.325929
6.0000,64.369748,0.552043,-1.687100
7.0000,65.233402,3.191641,1.992271
8.0000,66.629557,0.080513,-1.233989
9.0000,66.469876,1.405587,-4.601461
10.0000,66.660723,2.414998,-4.052186
11.0000,68.740374,2.646593,-4.226192
12.0000,65.067588,1.838671,-6.018630
13.0000,66.142498,-1.339585,-5.122262
14.0000,65.261479,-6.537403,-3.614442
15.0000,64.972506,-6.233156,-3.387807
16.0000,64.326668,-5.133053,-5.016952
17.0000,63.729695,-4.020853,-5.288129
18.0000,64.408867,-7.416737,-8.163414
19.0000,64.343231,-8.744748,-9.921064
20.0000,63.866286,-10.249711,-7.887717
21.0000,68.752442,-8.248906,-6.018072
22.0000,67.140048,-6.170045,-6.680800
23.0000,66.249832,-10.291037,-4.543537
24.0000,65.951386,-11.564134,-3.877305
25.0000,66.427132,-8.754829,-1.015338
26.0000,66.989194,-9.287358,-1.215928
27.0000,68.271765,-9.695625,0.486253
28.0000,64.742485,-7.549516,3.096600
29.0000,63.926456,-6.868168,-2.677505
30.0000,66.057073,-6.762269,-2.608559
31.0000,66.152138,-4.960458,0.591733
32.0000,67.644297,-2.494431,1.621061
33.0000,68.021976,-3.110633,2.292241
34.0000,69.418487,-0.915272,-1.087804
35.0000,69.001626,-1.255267,-3.236215
36.0000,68.038388,-3.711740,-3.844092
37.0000,68.562704,-4.615163,-3.668921
38.0000,69.227474,-1.800654,-2.371296
39.0000,69.929404,-3.323499,-2.028465
40.0000,71.298335,-4.537274,-0.859722
41.0000,72.075273,-7.199855,-0.699149
42.0000,69.588261,-9.804117,-1.367962
43.0000,69.535795,-7.886694,-3.289026
44.0000,67.000691,-8.327903,-2.950962
45.0000,67.867736,-8.388556,-3.621495
46.0000,67.774633,-10.566224,-4.229214
47.0000,67.085423,-11.751651,-4.234988
48.0000,68.212986,-8.757580,-5.020447
49.0000,68.834780,-9.335499,-5.655532
50.0000,69.260743,-9.977102,-2.498757
51.0000,67.578602,-8.865751,-1.445249
52.0000,66.206227,-9.347197,-1.309327
53.0000,67.783445,-6.087342,-2.243138
54.0000,66.441283,-5.434959,-0.573559
55.0000,70.522312,-5.822278,-0.284602
56.0000,65.627455,-5.286928,1.193273
57.0000,61.584694,-3.512534,0.281896
58.0000,59.607632,-1.059357,-0.587244
59.0000,58.407622,0.178478,-1.105810
60.0000,60.336551,-0.212863,2.510010
61.0000,61.266552,-1.696594,4.784563
62.0000,60.289981,0.009829,5.233123
63.0000,63.912083,-0.251969,5.274165
64.0000,63.056674,0.262179,5.305975
65.0000,65.297646,1.501364,3.726315
66.0000,63.453073,-0.111727,0.875390
67.0000,65.540627,1.968341,1.702850
68.0000,63.323193,2.489885,4.683337
69.0000,62.776735,1.167643,8.462514
70.0000,60.057323,-1.208585,6.894859
71.0000,58.446570,-0.042372,6.946071
72.0000,55.961015,-0.374247,7.539520
73.0000,56.114253,-2.451389,10.209586
74.0000,56.736107,-3.886580,10.005951
75.0000,55.302056,-4.589226,6.899197
76.0000,54.764641,-6.551266,6.964050
77.0000,53.394149,-7.978969,5.799359
78.0000,53.221506,-7.424706,6.267231
79.0000,52.090178,-8.587842,4.483906
80.0000,51.694952,-8.742825,5.631025
81.0000,49.052277,-11.640888,8.045030
82.0000,50.488936,-13.993984,10.349748
83.0000,50.782770,-10.526077,12.132806
84.0000,52.699501,-10.902922,11.765873
85.0000,52.332166,-10.797632,12.475118
86.0000,53.511435,-9.565990,12.280839
87.0000,51.136642,-10.484263,14.340588
88.0000,50.633286,-14.400708,12.361338
89.0000,52.458921,-10.293049,12.415735
90.0000,50.878173,-11.666726,17.550465
91.0000,52.156636,-11.402480,14.501994
92.0000,51.022311,-13.307831,14.083922
93.0000,51.276436,-13.197286,14.310338
94.0000,51.236294,-13.211993,14.536666
95.0000,49.964232,-13.451889,14.159351
96.0000,49.827791,-13.255480,12.344576
97.0000,51.858454,-14.626982,13.928950
98.0000,51.934732,-18.709326,12.351353
99.0000,54.685717,-18.310848,13.693199
100.0000,56.829114,-17.722179,18.082921
101.0000,57.940838,-15.331419,15.412301
102.0000,56.398900,-13.847415,13.088477
103.0000,59.468807,-16.578207,13.993818
104.0000,59.077977,-14.881959,13.715889
105.0000,56.942556,-13.908256,16.027065
106.0000,56.609453,-12.883951,15.914279
107.0000,56.729446,-10.336251,14.539219
108.0000,58.877065,-10.872956,13.434253
109.0000,57.963175,-8.985323,15.311695
110.0000,60.176414,-6.978852,13.672021
111.0000,62.583363,-7.930003,14.356021
112.0000,59.616426,-9.408396,15.245995
113.0000,61.374899,-12.438779,14.469070
114.0000,57.840886,-11.315536,13.635593
115.0000,60.078231,-12.010945,14.425326
116.0000,59.526483,-10.553840,14.271584
117.0000,57.026725,-15.136508,17.202578
118.0000,56.932810,-15.165076,16.404862
119.0000,60.506404,-17.644748,19.697954
120.0000,58.898211,-18.825993,20.954526
121.0000,60.946141,-16.909614,22.743257
122.0000,63.478675,-13.982228,22.435240
123.0000,63.450829,-16.588157,22.959746
124.0000,63.452003,-16.974556,20.582711
125.0000,59.804980,-13.803038,22.871567
126.0000,60.563110,-13.387455,22.606742
127.0000,62.793241,-13.846377,21.536999
128.0000,61.021262,-14.103367,23.584567
129.0000,59.891088,-15.822842,24.278904
130.0000,60.106316,-16.130335,24.299966
131.0000,62.072201,-13.417334,22.035782
132.0000,59.738529,-12.569310,21.549817
133.0000,56.106875,-11.055558,17.620772
134.0000,53.672191,-14.587252,17.063565
135.0000,53.498852,-11.355435,16.644389
136.0000,52.115185,-11.027227,14.652959
137.0000,51.795376,-10.603628,14.260611
138.0000,51.873049,-9.971545,15.881547
139.0000,52.075231,-15.347267,17.986055
140.0000,51.345153,-13.180291,17.475109
141.0000,53.020836,-14.956428,16.532844
142.0000,54.680430,-15.894301,15.502494
143.0000,50.705939,-11.990835,17.131010
144.0000,47.948450,-14.752498,19.802790
145.0000,49.217238,-15.384576,15.819255
146.0000,48.742849,-13.991121,17.894570
147.0000,43.936019,-14.009196,14.172000
148.0000,41.590508,-17.036779,15.371309
149.0000,40.811210,-15.891257,14.815058
150.0000,39.245330,-12.822456,13.036196
151.0000,41.174251,-14.092410,13.080621
152.0000,43.813782,-12.441867,15.739261
153.0000,43.836533,-14.229398,19.397112
154.0000,48.014885,-10.191526,21.286469
155.0000,47.522948,-11.116291,19.967512
156.0000,44.437190,-11.038133,18.998420
157.0000,48.485178,-13.326176,17.909410
158.0000,50.136300,-11.088512,18.903751
159.0000,51.093101,-10.669196,21.342838
160.0000,49.072676,-10.796165,18.022824
161.0000,48.771239,-13.293204,17.629030
162.0000,46.073266,-10.973364,16.255821
163.0000,46.937254,-7.894445,16.017337
164.0000,46.160926,-7.894212,15.010068
165.0000,44.289073,-4.886657,13.280957
166.0000,45.719001,-4.696201,11.020824
167.0000,43.054480,-5.598856,10.429238
168.0000,43.400079,-5.466321,6.627133
169.0000,41.162254,-9.318339,5.056257
170.0000,42.045314,-8.510159,3.748386
171.0000,42.848772,-7.399117,3.664478
172.0000,39.763028,-6.859135,3.561903
173.0000,41.115631,-6.067929,2.468486
174.0000,39.246238,-8.785068,3.207115
175.0000,37.864103,-10.264641,5.346699
176.0000,36.857415,-9.435237,6.248257
177.0000,33.783903,-9.170040,7.959796
178.0000,35.943753,-6.177633,9.128319
179.0000,35.559088,-8.382508,12.063290
180.0000,34.426228,-10.398644,9.915599
181.0000,33.761460,-11.391483,12.051750
182.0000,32.196943,-13.445274,8.524158
183.0000,33.635566,-13.565614,5.074334
184.0000,34.992650,-13.488295,3.554510
185.0000,34.911675,-15.474409,4.958431
186.0000,36.702028,-15.286000,7.763798
187.0000,37.417563,-14.945506,6.587254
188.0000,37.141088,-17.167342,7.015960
